"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","import_low","import_upp","MSM_pop","pop2022","cum_icni_prop"
"166","MLT","Malta","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-05-15,NA,NA,3851.9846274941,533.286,0
"167","MNE","Montenegro","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-07-26,2022-07-24,2022-07-29,4529.48366200923,627.082,0
"168","MTQ","Martinique","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-09,2022-07-07,2022-07-12,12384.9859,367.507,0
"169","NCL","New Caledonia","Oceania","Melanesia",2022-04-18,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,4726.185,289.95,0
"170","NLD","Netherlands","Europe","Western Europe",2022-04-18,0,0,0,0,2022-04-27,NA,NA,230000,17564.014,0
"171","NOR","Norway","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-23,NA,NA,57042.4383237622,5434.319,0
"172","NZL","New Zealand","Oceania","Australia and New Zealand",2022-04-18,0,0,0,0,2022-07-06,NA,NA,37500,5185.288,0
"173","PAN","Panama","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-28,NA,NA,29600,4408.581,0
"174","PER","Peru","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-15,NA,NA,260000,34049.588,0
"175","PHL","Philippines","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-07-12,NA,NA,678100,115559.009,0
"176","POL","Poland","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-05-16,NA,NA,840985.7595,39857.145,0
"177","PRI","Puerto Rico","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-06-23,2022-06-21,2022-06-26,109606.1159,3252.407,0
"178","PRT","Portugal","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-04-22,NA,NA,74187.6105711891,10270.865,0
"179","PRY","Paraguay","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-19,2022-08-17,2022-08-22,27700,6780.744,0
"180","QAT","Qatar","Asia","Western Asia",2022-04-18,0,0,0,0,2022-07-09,NA,NA,27490.2444,2695.122,0
"181","ROU","Romania","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-06-02,NA,NA,10500,19659.267,0
"182","RUS","Russia","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-07-06,2022-07-04,2022-07-09,1532011.64928064,144713.314,0
"183","SAU","Saudi Arabia","Asia","Western Asia",2022-04-18,0,0,0,0,2022-07-03,NA,NA,371369.964,36408.82,0
"184","SDN","Sudan","Africa","Northern Africa",2022-04-18,0,0,0,0,2022-07-09,NA,NA,132000,46874.204,0
"185","SGP","Singapore","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-06-14,NA,NA,97403.7307,5975.689,0
"186","SLV","El Salvador","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-08-22,NA,NA,54100,6336.392,0
"187","SMR","San Marino","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-09-15,NA,NA,243.129957586457,33.66,0
"188","SRB","Serbia","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-06-03,NA,NA,40000,7221.365,0
"189","SVK","Slovakia","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-06-23,NA,NA,119076.8583,5643.453,0
"190","SVN","Slovenia","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-05-18,NA,NA,15311.8711173472,2119.844,0
"191","SWE","Sweden","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-05,NA,NA,1e+05,10549.347,0
"192","THA","Thailand","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-07-09,NA,NA,527900,71697.03,0
"193","TUR","Türkiye","Asia","Western Asia",2022-04-18,0,0,0,0,2022-06-25,NA,NA,870480.6582,85341.241,0
"194","TWN","Taiwan, Province of China","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-06-20,NA,NA,239889.946426095,23893.394,0
"195","UKR","Ukraine","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-08-26,NA,NA,179400,39701.739,0
"196","URY","Uruguay","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-20,NA,NA,28600,3422.794,0
"197","USA","United States of America","Americas","Northern America",2022-04-18,0,0,0,0,2022-04-29,NA,NA,4500000,338289.857,0
"198","VEN","Venezuela (Bolivarian Republic of)","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-28,NA,NA,210800,28301.696,0
"199","VNM","Viet Nam","Asia","South-eastern Asia",2022-04-18,0,0,0,0,2022-09-18,NA,NA,256000,98186.856,0
"200","ZAF","South Africa","Africa","Sub-Saharan Africa",2022-04-18,0,0,0,0,2022-06-16,2022-06-14,2022-06-19,309700,59893.885,0
"201","ABW","Aruba","Americas","Latin America and the Caribbean",2022-04-19,0,0,0,0,2022-08-09,NA,NA,3587.1965,106.445,0
"202","AND","Andorra","Europe","Southern Europe",2022-04-19,0,0,0,0,2022-06-20,NA,NA,576.577710468845,79.824,0
"203","ARE","United Arab Emirates","Asia","Western Asia",2022-04-19,0,0,0,0,2022-05-12,NA,NA,96299.5158,9441.129,0
"204","ARG","Argentina","Americas","Latin America and the Caribbean",2022-04-19,0,0,0,0,2022-05-03,NA,NA,205600,45510.318,0
"205","AUS","Australia","Oceania","Australia and New Zealand",2022-04-19,0,0,0,0,2022-05-08,NA,NA,263500,26177.413,0
