,SAR,Infections,Reff_1,Reff_2,Excess,n
265,0.833893013,0.02091118,0.11991946,0.23983892,1.722994713,26400
266,0.837067112,0.020980756,0.119464734,0.238929468,1.7175995,26500
267,0.840244174,0.021050286,0.119013024,0.238026048,1.712237033,26600
268,0.843424204,0.021119771,0.1185643,0.237128599,1.706907002,26700
269,0.846607207,0.021189209,0.118118531,0.236237063,1.701609098,26800
270,0.849793186,0.021258602,0.117675691,0.235351381,1.69634302,26900
271,0.852982147,0.02132795,0.117235748,0.234471496,1.691108467,27000
272,0.856174092,0.021397252,0.116798676,0.233597351,1.685905144,27100
273,0.859369026,0.021466509,0.116364445,0.23272889,1.680732759,27200
274,0.862566955,0.021535721,0.115933029,0.231866059,1.675591026,27300
275,0.865767881,0.021604888,0.1155044,0.231008801,1.670479659,27400
276,0.868971808,0.02167401,0.115078532,0.230157064,1.665398377,27500
277,0.872178742,0.021743087,0.114655397,0.229310794,1.660346905,27600
278,0.875388686,0.02181212,0.11423497,0.228469939,1.655324968,27700
279,0.878601644,0.021881108,0.113817224,0.227634448,1.650332297,27800
280,0.88181762,0.021950052,0.113402134,0.226804268,1.645368624,27900
281,0.885036619,0.022018952,0.112989675,0.22597935,1.640433687,28000
282,0.888258643,0.022087808,0.112579822,0.225159644,1.635527225,28100
283,0.891483698,0.02215662,0.11217255,0.224345101,1.630648981,28200
284,0.894711787,0.022225389,0.111767836,0.223535671,1.625798702,28300
285,0.897942913,0.022294113,0.111365654,0.222731308,1.620976137,28400
286,0.901177082,0.022362794,0.110965982,0.221931964,1.616181039,28500
287,0.904414297,0.022431432,0.110568796,0.221137592,1.611413164,28600
288,0.907654561,0.022500026,0.110174073,0.220348146,1.606672269,28700
289,0.910897878,0.022568578,0.10978179,0.219563581,1.601958117,28800
290,0.914144253,0.022637086,0.109391925,0.218783851,1.597270471,28900
291,0.917393689,0.022705551,0.109004456,0.218008912,1.5926091,29000
292,0.92064619,0.022773974,0.10861936,0.21723872,1.587973772,29100
293,0.923901759,0.022842354,0.108236616,0.216473232,1.583364261,29200
294,0.9271604,0.022910691,0.107856203,0.215712405,1.578780343,29300
295,0.930422118,0.022978986,0.107478098,0.214956197,1.574221795,29400
296,0.933686915,0.023047239,0.107102283,0.214204566,1.569688399,29500
297,0.936954796,0.023115449,0.106728735,0.21345747,1.565179937,29600
298,0.940225763,0.023183618,0.106357434,0.212714869,1.560696196,29700
299,0.943499821,0.023251744,0.105988361,0.211976723,1.556236965,29800
300,0.946776973,0.023319829,0.105621496,0.211242991,1.551802033,29900
301,0.950057224,0.023387872,0.105256818,0.210513635,1.547391195,30000
302,0.953340575,0.023455873,0.104894308,0.209788616,1.543004247,30100
303,0.956627031,0.023523833,0.104533948,0.209067895,1.538640986,30200
304,0.959916596,0.023591751,0.104175717,0.208351435,1.534301214,30300
305,0.963209273,0.023659629,0.103819599,0.207639197,1.529984733,30400
