"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"93","SVN","Slovenia","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-24,15311.8711173472,2119.844,0
"94","ZAF","South Africa","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-06-22,309700,59893.885,0
"95","KOR","South Korea","Asia","Eastern Asia",2022-05-01,0,0,0,0,2022-06-22,520231.319373243,51815.81,0
"96","SSD","South Sudan","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-08-29,158240.878,10913.164,0
"97","ESP","Spain","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-18,890200,47558.63,0
"98","SDN","Sudan","Africa","Northern Africa",2022-05-01,0,0,0,0,2022-07-31,132000,46874.204,0
"99","SWE","Sweden","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-19,1e+05,10549.347,0
"100","CHE","Switzerland","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-21,80000,8740.472,0
"101","TWN","Taiwan","Asia","Eastern Asia",2022-05-01,0,0,0,0,2022-06-24,239889.946426095,23893.394,0
"102","THA","Thailand","Asia","South-eastern Asia",2022-05-01,0,0,0,0,2022-07-21,527900,71697.03,0
"103","TUR","Turkey","Asia","Western Asia",2022-05-01,0,0,0,0,2022-06-30,870480.6582,85341.241,0
"104","UKR","Ukraine","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-09-15,179400,39701.739,0
"105","ARE","United Arab Emirates","Asia","Western Asia",2022-05-01,0,0,0,0,2022-05-24,96299.5158,9441.129,0
"106","GBR","United Kingdom","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-06,708621.322760554,67508.936,0
"107","USA","United States","Americas","Northern America",2022-05-01,0,0,0,0,2022-05-18,4500000,338289.857,0
"108","URY","Uruguay","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-29,28600,3422.794,0
"109","VEN","Venezuela","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-12,210800,28301.696,0
"110","AND","Andorra","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-07-25,576.577710468845,79.824,0
"111","ARG","Argentina","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-05-27,205600,45510.318,0
"112","ABW","Aruba","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-22,3587.1965,106.445,0
"113","AUS","Australia","Oceania","Australia and New Zealand",2022-05-02,0,0,0,0,2022-05-20,263500,26177.413,0
"114","AUT","Austria","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-23,81238.97811776,8939.617,0
"115","BHS","Bahamas","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-24,2800,409.984,0
"116","BHR","Bahrain","Asia","Western Asia",2022-05-02,0,0,0,0,2022-09-16,15016.7766,1472.233,0
"117","BRB","Barbados","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-16,2600,281.635,0
"118","BEL","Belgium","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-19,105923.535897807,11655.93,0
"119","BEN","Benin","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-06-14,5800,13352.864,0
"120","BMU","Bermuda","Americas","Northern America",2022-05-02,0,0,0,0,2022-07-21,718.819322375309,64.184,0
"121","BOL","Bolivia","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-01,35500,12224.11,0
"122","BIH","Bosnia And Herzegovina","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-07-13,6900,3233.526,0
"123","BRA","Brazil","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-08,2e+06,215313.498,0
"124","BGR","Bulgaria","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-06-23,57800,6781.953,0
"125","CMR","Cameroon","Africa","Sub-Saharan Africa",2022-05-02,0,3,0,3,2022-02-17,7000,27914.536,0.000428571428571429
"126","CAN","Canada","Americas","Northern America",2022-05-02,0,0,0,0,2022-05-19,349800,38454.327,0
"127","CAF","Central African Republic","Africa","Sub-Saharan Africa",2022-05-02,0,6,0,6,2022-03-04,3000,5579.144,0.002
"128","CHL","Chile","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-17,122600,19603.733,0
"129","CHN","China","Asia","Eastern Asia",2022-05-02,0,0,0,0,2022-06-24,23241963.5931,1425887.337,0
"130","COL","Colombia","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-23,356700,51874.024,0
"131","CRI","Costa Rica","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-20,10100,5180.829,0
"132","HRV","Croatia","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-06-23,29500,4030.358,0
"133","CUB","Cuba","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-20,279200,11212.191,0
"134","CUW","Curaçao","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-15,3029.62765740541,191.163,0
"135","CYP","Cyprus","Asia","Western Asia",2022-05-02,0,0,0,0,2022-08-02,12765.1776,1251.488,0
"136","CZE","Czech Republic","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-05-24,111094.883774052,10493.986,0
"137","COD","Democratic Republic Of The Congo","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-05-08,194900,99010.212,0
"138","DNK","Denmark","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-23,50000,5882.261,0
"139","DOM","Dominican Republic","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-06,142000,11228.821,0
"140","ECU","Ecuador","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-06,89400,18001,0
"141","EGY","Egypt","Africa","Northern Africa",2022-05-02,0,0,0,0,2022-09-07,64300,110990.103,0
"142","SLV","El Salvador","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-30,54100,6336.392,0
