"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"171","MLT","Malta","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-30,3851.9846274941,533.286,0
"172","MTQ","Martinique","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-20,12384.9859,367.507,0
"173","MEX","Mexico","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-03,1200000,127504.125,0
"174","MDA","Moldova","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-08-09,14600,3272.996,0
"175","MCO","Monaco","Europe","Western Europe",2022-05-02,0,0,0,0,2022-08-12,331.412888603235,36.469,0
"176","MNE","Montenegro","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-07-31,4529.48366200923,627.082,0
"177","MAR","Morocco","Africa","Northern Africa",2022-05-02,0,0,0,0,2022-06-02,42000,37457.971,0
"178","NLD","Netherlands","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-22,230000,17564.014,0
"179","NCL","New Caledonia","Oceania","Melanesia",2022-05-02,0,0,0,0,2022-07-12,4726.185,289.95,0
"180","NZL","New Zealand","Oceania","Australia and New Zealand",2022-05-02,0,0,0,0,2022-07-11,37500,5185.288,0
"181","NGA","Nigeria","Africa","Sub-Saharan Africa",2022-05-02,0,15,0,0,2022-05-01,240000,218541.212,0
"182","NOR","Norway","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-31,57042.4383237622,5434.319,0
"183","PAN","Panama","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-06,29600,4408.581,0
"184","PRY","Paraguay","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-26,27700,6780.744,0
"185","PER","Peru","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-28,260000,34049.588,0
"186","PHL","Philippines","Asia","South-eastern Asia",2022-05-02,0,0,0,0,2022-07-29,678100,115559.009,0
"187","POL","Poland","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-06-13,840985.7595,39857.145,0
"188","PRT","Portugal","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-17,74187.6105711891,10270.865,0
"189","PRI","Puerto Rico","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-01,109606.1159,3252.407,0
"190","QAT","Qatar","Asia","Western Asia",2022-05-02,0,0,0,0,2022-07-21,27490.2444,2695.122,0
"191","ROU","Romania","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-06-14,10500,19659.267,0
"192","RUS","Russia","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-07-12,1532011.64928064,144713.314,0
"193","MAF","Saint Martin (French part)","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-04,503.836479112461,31.791,0
"194","SAU","Saudi Arabia","Asia","Western Asia",2022-05-02,0,0,0,0,2022-07-14,371369.964,36408.82,0
"195","SRB","Serbia","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-06-17,40000,7221.365,0
"196","SGP","Singapore","Asia","South-eastern Asia",2022-05-02,0,0,0,0,2022-06-21,97403.7307,5975.689,0
"197","SVK","Slovakia","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-07-07,119076.8583,5643.453,0
"198","SVN","Slovenia","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-24,15311.8711173472,2119.844,0
"199","ZAF","South Africa","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-06-23,309700,59893.885,0
"200","KOR","South Korea","Asia","Eastern Asia",2022-05-02,0,0,0,0,2022-06-22,520231.319373243,51815.81,0
"201","ESP","Spain","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-18,890200,47558.63,0
"202","SDN","Sudan","Africa","Northern Africa",2022-05-02,0,0,0,0,2022-08-01,132000,46874.204,0
"203","SWE","Sweden","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-18,1e+05,10549.347,0
"204","CHE","Switzerland","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-21,80000,8740.472,0
"205","THA","Thailand","Asia","South-eastern Asia",2022-05-02,0,0,0,0,2022-07-21,527900,71697.03,0
"206","TUR","Turkey","Asia","Western Asia",2022-05-02,0,0,0,0,2022-06-30,870480.6582,85341.241,0
"207","UKR","Ukraine","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-09-15,179400,39701.739,0
"208","ARE","United Arab Emirates","Asia","Western Asia",2022-05-02,0,0,0,0,2022-05-24,96299.5158,9441.129,0
"209","GBR","United Kingdom","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-07,708621.322760554,67508.936,0
"210","USA","United States","Americas","Northern America",2022-05-02,0,0,0,0,2022-06-03,4500000,338289.857,0
"211","URY","Uruguay","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-31,28600,3422.794,0
"212","VEN","Venezuela","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-14,210800,28301.696,0
"213","AND","Andorra","Europe","Southern Europe",2022-05-03,0,0,0,0,2022-07-25,576.577710468845,79.824,0
"214","ARG","Argentina","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-06-03,205600,45510.318,0
"215","ABW","Aruba","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-08-21,3587.1965,106.445,0
"216","AUS","Australia","Oceania","Australia and New Zealand",2022-05-03,0,0,0,0,2022-05-20,263500,26177.413,0
"217","AUT","Austria","Europe","Western Europe",2022-05-03,0,0,0,0,2022-05-23,81238.97811776,8939.617,0
"218","BHS","Bahamas","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-06-27,2800,409.984,0
"219","BHR","Bahrain","Asia","Western Asia",2022-05-03,0,0,0,0,2022-09-16,15016.7766,1472.233,0
"220","BRB","Barbados","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-07-19,2600,281.635,0
"221","BEL","Belgium","Europe","Western Europe",2022-05-03,0,0,0,0,2022-05-19,105923.535897807,11655.93,0
"222","BEN","Benin","Africa","Sub-Saharan Africa",2022-05-03,0,0,0,0,2022-06-15,5800,13352.864,0
"223","BMU","Bermuda","Americas","Northern America",2022-05-03,0,0,0,0,2022-07-23,718.819322375309,64.184,0
"224","BOL","Bolivia","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-08-03,35500,12224.11,0
"225","BIH","Bosnia and Herzegovina","Europe","Southern Europe",2022-05-03,0,0,0,0,2022-07-14,6900,3233.526,0
"226","BRA","Brazil","Americas","Latin America and the Caribbean",2022-05-03,0,0,0,0,2022-06-10,2e+06,215313.498,0
"227","BGR","Bulgaria","Europe","Eastern Europe",2022-05-03,0,0,0,0,2022-06-23,57800,6781.953,0
"228","CMR","Cameroon","Africa","Sub-Saharan Africa",2022-05-03,0,0,0,0,2022-06-13,7000,27914.536,0
"229","CAN","Canada","Americas","Northern America",2022-05-03,0,0,0,0,2022-06-03,349800,38454.327,0
