,SAR,Infections,Reff_1,Reff_2,n
1483,6.500469057,0.0703357,0.015383505,0.030767011,148200
1484,6.507120073,0.070373541,0.015367782,0.030735563,148300
1485,6.513774951,0.070411374,0.015352081,0.030704162,148400
1486,6.520433693,0.070449201,0.015336403,0.030672806,148500
1487,6.527096299,0.07048702,0.015320748,0.030641497,148600
1488,6.533762771,0.070524831,0.015305116,0.030610233,148700
1489,6.540433111,0.070562636,0.015289507,0.030579015,148800
1490,6.547107321,0.070600433,0.015273921,0.030547842,148900
1491,6.553785401,0.070638223,0.015258357,0.030516715,149000
1492,6.560467355,0.070676006,0.015242816,0.030485633,149100
1493,6.567153182,0.070713781,0.015227298,0.030454596,149200
1494,6.573842884,0.07075155,0.015211803,0.030423605,149300
1495,6.580536464,0.070789311,0.015196329,0.030392659,149400
1496,6.587233922,0.070827064,0.015180879,0.030361758,149500
1497,6.593935261,0.070864811,0.015165451,0.030330901,149600
1498,6.600640482,0.07090255,0.015150045,0.03030009,149700
1499,6.607349585,0.070940282,0.015134662,0.030269323,149800
1500,6.614062574,0.070978007,0.015119301,0.030238601,149900
1501,6.620779449,0.071015725,0.015103962,0.030207924,150000
1502,6.627500212,0.071053436,0.015088645,0.030177291,150100
1503,6.634224864,0.071091139,0.015073351,0.030146702,150200
1504,6.640953407,0.071128835,0.015058079,0.030116158,150300
1505,6.647685843,0.071166524,0.015042829,0.030085658,150400
1506,6.654422174,0.071204206,0.015027601,0.030055202,150500
1507,6.661162399,0.07124188,0.015012395,0.03002479,150600
1508,6.667906523,0.071279548,0.014997211,0.029994422,150700
1509,6.674654545,0.071317208,0.014982049,0.029964098,150800
1510,6.681406467,0.071354861,0.014966909,0.029933817,150900
1511,6.688162291,0.071392507,0.01495179,0.029903581,151000
1512,6.694922019,0.071430145,0.014936694,0.029873388,151100
1513,6.701685651,0.071467777,0.014921619,0.029843238,151200
1514,6.70845319,0.071505401,0.014906566,0.029813132,151300
1515,6.715224638,0.071543019,0.014891535,0.029783069,151400
1516,6.721999995,0.071580629,0.014876525,0.02975305,151500
1517,6.728779263,0.071618232,0.014861537,0.029723073,151600
1518,6.735562444,0.071655828,0.01484657,0.02969314,151700
1519,6.742349539,0.071693416,0.014831625,0.02966325,151800
1520,6.74914055,0.071730998,0.014816701,0.029633403,151900
1521,6.755935479,0.071768572,0.014801799,0.029603598,152000
1522,6.762734327,0.07180614,0.014786918,0.029573837,152100
1523,6.769537095,0.0718437,0.014772059,0.029544118,152200
1524,6.776343786,0.071881253,0.014757221,0.029514441,152300
1525,6.7831544,0.071918799,0.014742404,0.029484807,152400
1526,6.789968939,0.071956338,0.014727608,0.029455216,152500
1527,6.796787406,0.07199387,0.014712833,0.029425667,152600
1528,6.8036098,0.072031395,0.01469808,0.02939616,152700
1529,6.810436125,0.072068913,0.014683347,0.029366695,152800
1530,6.817266381,0.072106423,0.014668636,0.029337272,152900
1531,6.82410057,0.072143927,0.014653946,0.029307892,153000
1532,6.830938694,0.072181423,0.014639276,0.029278553,153100
1533,6.837780754,0.072218913,0.014624628,0.029249256,153200
1534,6.844626752,0.072256395,0.01461,0.029220001,153300
1535,6.851476689,0.072293871,0.014595394,0.029190787,153400
1536,6.858330567,0.072331339,0.014580808,0.029161616,153500
1537,6.865188388,0.0723688,0.014566243,0.029132485,153600
1538,6.872050152,0.072406254,0.014551698,0.029103396,153700
1539,6.878915863,0.072443702,0.014537174,0.029074349,153800
1540,6.88578552,0.072481142,0.014522671,0.029045343,153900
1541,6.892659126,0.072518575,0.014508189,0.029016378,154000
1542,6.899536683,0.072556001,0.014493727,0.028987454,154100
1543,6.906418191,0.07259342,0.014479285,0.028958571,154200
1544,6.913303653,0.072630832,0.014464864,0.028929729,154300
