"","location","iso_code","date","new_cases","date_import","import_low","import_upp","total_cases"
"288","Argentina","ARG",2022-08-13,10.0716488777994,2022-05-03,NA,NA,127.454530547891
"289","Argentina","ARG",2022-08-14,6.14068003504071,2022-05-03,NA,NA,133.595210582932
"290","Argentina","ARG",2022-08-15,9.19309274509667,2022-05-03,NA,NA,142.788303328028
"291","Argentina","ARG",2022-08-16,4.17706339134776,2022-05-03,NA,NA,146.965366719376
"292","Argentina","ARG",2022-08-17,3.10266541549885,2022-05-03,NA,NA,150.068032134875
"293","Argentina","ARG",2022-08-18,8.0347586738948,2022-05-03,NA,NA,158.10279080877
"294","Argentina","ARG",2022-08-19,7,2022-05-03,NA,NA,165.10279080877
"295","Argentina","ARG",2022-08-20,10,2022-05-03,NA,NA,175.10279080877
"296","Argentina","ARG",2022-08-21,5.01318838891259,2022-05-03,NA,NA,180.115979197682
"297","Argentina","ARG",2022-08-22,4.05548924683887,2022-05-03,NA,NA,184.171468444521
"298","Argentina","ARG",2022-08-23,7.1780168892183,2022-05-03,NA,NA,191.34948533374
"299","Argentina","ARG",2022-08-24,5.41628716537067,2022-05-03,NA,NA,196.76577249911
"300","Argentina","ARG",2022-08-25,8.67742025240531,2022-05-03,NA,NA,205.443192751516
"301","Argentina","ARG",2022-08-26,8.74495662995751,2022-05-03,NA,NA,214.188149381473
"302","Argentina","ARG",2022-08-27,5.54448508627911,2022-05-03,NA,NA,219.732634467752
"303","Argentina","ARG",2022-08-28,9.27203156262463,2022-05-03,NA,NA,229.004666030377
"304","Argentina","ARG",2022-08-29,5.13511180638856,2022-05-03,NA,NA,234.139777836765
"305","Argentina","ARG",2022-08-30,6.16515404487228,2022-05-03,NA,NA,240.304931881638
"306","Argentina","ARG",2022-08-31,5.31435327847819,2022-05-03,NA,NA,245.619285160116
"307","Argentina","ARG",2022-09-01,10.5052794293103,2022-05-03,NA,NA,256.124564589426
"308","Argentina","ARG",2022-09-02,4.61450810439251,2022-05-03,NA,NA,260.739072693819
"309","Argentina","ARG",2022-09-03,8.57697375491127,2022-05-03,NA,NA,269.31604644873
"310","Argentina","ARG",2022-09-04,6.45733735554287,2022-05-03,NA,NA,275.773383804273
"311","Argentina","ARG",2022-09-05,13.3576060489128,2022-05-03,NA,NA,289.130989853186
"312","Argentina","ARG",2022-09-06,9.33996903619713,2022-05-03,NA,NA,298.470958889383
"313","Argentina","ARG",2022-09-07,5.43977227462989,2022-05-03,NA,NA,303.910731164013
"314","Argentina","ARG",2022-09-08,4.65576672923204,2022-05-03,NA,NA,308.566497893245
"315","Argentina","ARG",2022-09-09,11.8606381225293,2022-05-03,NA,NA,320.427136015774
"316","Argentina","ARG",2022-09-10,11.8271549360658,2022-05-03,NA,NA,332.25429095184
"317","Argentina","ARG",2022-09-11,6.52020205293537,2022-05-03,NA,NA,338.774493004775
"318","Argentina","ARG",2022-09-12,10.1914637520166,2022-05-03,NA,NA,348.965956756792
"319","Argentina","ARG",2022-09-13,15.0340432432084,2022-05-03,NA,NA,364
"320","Argentina","ARG",2022-09-14,10,2022-05-03,NA,NA,374
"321","Argentina","ARG",2022-09-15,18,2022-05-03,NA,NA,392
"322","Argentina","ARG",2022-09-16,9,2022-05-03,NA,NA,401
"323","Argentina","ARG",2022-09-17,10,2022-05-03,NA,NA,411
"324","Argentina","ARG",2022-09-18,7,2022-05-03,NA,NA,418
"325","Argentina","ARG",2022-09-19,5,2022-05-03,NA,NA,423
"326","Argentina","ARG",2022-09-20,13,2022-05-03,NA,NA,436
"327","Argentina","ARG",2022-09-21,8,2022-05-03,NA,NA,444
"328","Argentina","ARG",2022-09-22,13,2022-05-03,NA,NA,457
"329","Argentina","ARG",2022-09-23,9,2022-05-03,NA,NA,466
"330","Argentina","ARG",2022-09-24,12,2022-05-03,NA,NA,478
"331","Argentina","ARG",2022-09-25,4,2022-05-03,NA,NA,482
"332","Argentina","ARG",2022-09-26,8,2022-05-03,NA,NA,490
"333","Argentina","ARG",2022-09-27,7,2022-05-03,NA,NA,497
"334","Argentina","ARG",2022-09-28,8,2022-05-03,NA,NA,505
"335","Argentina","ARG",2022-09-29,15,2022-05-03,NA,NA,520
"336","Argentina","ARG",2022-09-30,7,2022-05-03,NA,NA,527
"337","Argentina","ARG",2022-10-01,15,2022-05-03,NA,NA,542
"338","Argentina","ARG",2022-10-02,0,2022-05-03,NA,NA,542
"339","Aruba","ABW",2022-04-17,0,2022-08-09,NA,NA,0
"340","Aruba","ABW",2022-04-18,0,2022-08-09,NA,NA,0
"341","Aruba","ABW",2022-04-19,0,2022-08-09,NA,NA,0
"342","Aruba","ABW",2022-04-20,0,2022-08-09,NA,NA,0
"343","Aruba","ABW",2022-04-21,0,2022-08-09,NA,NA,0
"344","Aruba","ABW",2022-04-22,0,2022-08-09,NA,NA,0
"345","Aruba","ABW",2022-04-23,0,2022-08-09,NA,NA,0
"346","Aruba","ABW",2022-04-24,0,2022-08-09,NA,NA,0
"347","Aruba","ABW",2022-04-25,0,2022-08-09,NA,NA,0
"348","Aruba","ABW",2022-04-26,0,2022-08-09,NA,NA,0
"349","Aruba","ABW",2022-04-27,0,2022-08-09,NA,NA,0
"350","Aruba","ABW",2022-04-28,0,2022-08-09,NA,NA,0
"351","Aruba","ABW",2022-04-29,0,2022-08-09,NA,NA,0
"352","Aruba","ABW",2022-04-30,0,2022-08-09,NA,NA,0
"353","Aruba","ABW",2022-05-01,0,2022-08-09,NA,NA,0
"354","Aruba","ABW",2022-05-02,0,2022-08-09,NA,NA,0
"355","Aruba","ABW",2022-05-03,0,2022-08-09,NA,NA,0
"356","Aruba","ABW",2022-05-04,0,2022-08-09,NA,NA,0
"357","Aruba","ABW",2022-05-05,0,2022-08-09,NA,NA,0
"358","Aruba","ABW",2022-05-06,0,2022-08-09,NA,NA,0
"359","Aruba","ABW",2022-05-07,0,2022-08-09,NA,NA,0
"360","Aruba","ABW",2022-05-08,0,2022-08-09,NA,NA,0
"361","Aruba","ABW",2022-05-09,0,2022-08-09,NA,NA,0
"362","Aruba","ABW",2022-05-10,0,2022-08-09,NA,NA,0
"363","Aruba","ABW",2022-05-11,0,2022-08-09,NA,NA,0
"364","Aruba","ABW",2022-05-12,0,2022-08-09,NA,NA,0
"365","Aruba","ABW",2022-05-13,0,2022-08-09,NA,NA,0
"366","Aruba","ABW",2022-05-14,0,2022-08-09,NA,NA,0
"367","Aruba","ABW",2022-05-15,0,2022-08-09,NA,NA,0
"368","Aruba","ABW",2022-05-16,0,2022-08-09,NA,NA,0
"369","Aruba","ABW",2022-05-17,0,2022-08-09,NA,NA,0
"370","Aruba","ABW",2022-05-18,0,2022-08-09,NA,NA,0
