"","location","estimate","MSM_size","region","pop2022","prop"
"204","Senegal",52.5,251.0885105,"Africa",17316.449,0.303179941799846
"205","Serbia",40,NA,"Europe",7221.365,0.553911898927696
"206","Seychelles",0.2,1.553211,"Africa",107.118,0.186709983382812
"207","Sierra Leone",3.2,124.782911,"Africa",8605.718,0.0371845789043982
"208","Singapore",NA,97.4037307,"Asia",5975.689,NA
"209","Sint Maarten (Dutch part)",NA,NA,"Americas",NA,NA
"210","Slovakia",NA,119.0768583,"Europe",5643.453,NA
"211","Slovenia",NA,NA,"Europe",2119.844,NA
"212","Solomon Island",0.2,NA,NA,NA,NA
"213","Solomon Islands",NA,11.8056499,"Oceania",724.273,NA
"214","Somalia",NA,255.1639095,"Africa",17597.511,NA
"215","South Africa",209.7,868.4613325,"Africa",59893.885,0.350119215008343
"216","South Georgia and the South Sandwich Islands",NA,NA,"Americas",NA,NA
"217","South Sudan",NA,158.240878,"Africa",10913.164,NA
"218","Spain",890.2,NA,"Europe",47558.63,1.87179487718633
"219","Sri Lanka",73.8,355.8639309,"Asia",21832.143,0.338033696463054
"220","Sudan",132,478.1168808,"Africa",46874.204,0.281604782024672
"221","Suriname",1.3,20.827948,"Americas",618.04,0.210342372661964
"222","Svalbard and Jan Mayen",NA,NA,"Europe",NA,NA
"223","Sweden",100,NA,"Europe",10549.347,0.947925971152527
"224","Switzerland",80,NA,"Europe",8740.472,0.915282378342954
"225","Syrian Arab Republic",10,NA,"Asia",NA,NA
"226","Taiwan, Province of China",NA,NA,"Asia",NA,NA
"227","Tajikistan",13.4,210.0038057,"Asia",9952.787,0.13463565531946
"228","Tanzania, United Republic of",NA,NA,"Africa",NA,NA
"229","Thailand",527.9,1168.661589,"Asia",71697.03,0.736292702780018
"230","Timor-Leste",NA,21.8631248,"Asia",1341.296,NA
"231","Timor-leste",8.7,NA,NA,NA,NA
"232","Togo",6.1,128.3061355,"Africa",8848.699,0.0689366877548892
"233","Tokelau",NA,0.0304973,"Oceania",1.871,NA
"234","Tonga",NA,1.7417854,"Oceania",106.858,NA
"235","Trinidad and Tobago",NA,51.5961828,"Americas",1531.044,NA
"236","Tunisia",28,126.0323934,"Africa",12356.117,0.226608407803196
"237","Turkey",NA,870.4806582,"Asia",85341.241,NA
"238","Turkmenistan",NA,135.689247,"Asia",6430.77,NA
"239","Turks and Caicos Islands",NA,1.5401911,"Americas",45.703,NA
"240","Tuvalu",NA,0.1843856,"Oceania",11.312,NA
"241","Uganda",24.1,685.1189825,"Africa",47249.585,0.0510057389922049
"242","Ukraine",179.4,837.7066929,"Europe",39701.739,0.451869375293611
"243","United Arab Emirates",NA,96.2995158,"Asia",9441.129,NA
"244","United Kingdom of Great Britain and Northern Ireland",NA,NA,"Europe",NA,NA
"245","United Republic of Tanzania",49.7,NA,NA,NA,NA
"246","United States Minor Outlying Islands",NA,NA,"Oceania",NA,NA
"247","United States of America",4500,NA,"Americas",NA,NA
"248","Uruguay",28.6,115.3481578,"Americas",3422.794,0.835574679633072
"249","Uzbekistan",NA,730.6434572,"Asia",34627.652,NA
"250","Vanuatu",NA,5.325862,"Oceania",326.74,NA
"251","Venezuela",210.8,NA,NA,NA,NA
"252","Venezuela (Bolivarian Republic of)",NA,NA,"Americas",NA,NA
"253","Viet Nam",NA,NA,"Asia",NA,NA
"254","Vietnam",256,NA,NA,NA,NA
"255","Virgin Islands (British)",NA,NA,"Americas",NA,NA
"256","Virgin Islands (U.S.)",NA,NA,"Americas",NA,NA
"257","Wallis and Futuna",NA,0.1886236,"Oceania",11.572,NA
"258","Western Sahara",NA,5.8750572,"Africa",575.986,NA
"259","Yemen",44,343.7054628,"Asia",33696.614,0.130576917906351
"260","Zambia",6.5,290.2562875,"Africa",20017.675,0.0324713034855447
"261","Zimbabwe",23,236.6477865,"Africa",16320.537,0.140926735437688
"262","Åland Islands",NA,NA,"Europe",NA,NA
