"","sub_region","location","iso_code","estimate","MSM_size","region","pop2022","prop","imputed","prop_avg"
"180","Sub-Saharan Africa","Botswana","BWA",2.6,38.139292,"Africa",2630.296,0.000988481904698179,2.6,0.00341280873420897
"181","Sub-Saharan Africa","Eritrea","ERI",NA,53.418464,"Africa",3684.032,0.0145,53.418464,0.00341280873420897
"182","Sub-Saharan Africa","Tanzania, United Republic of","TZA",49.7,NA,"Africa",65497.748,0.000758804714934627,49.7,0.00341280873420897
"183","Sub-Saharan Africa","Angola","AGO",29.4,516.0403115,"Africa",35588.987,0.000826098253372595,29.4,0.00341280873420897
"184","Sub-Saharan Africa","Sao Tome and Principe","STP",0.02,3.29701,"Africa",227.38,8.79584835957428e-05,0.02,0.00341280873420897
"185","Sub-Saharan Africa","South Sudan","SSD",NA,158.240878,"Africa",10913.164,0.0145,158.240878,0.00341280873420897
"186","Sub-Saharan Africa","Comoros","COM",0.6,12.133223,"Africa",836.774,0.000717039487364569,0.6,0.00341280873420897
"187","Sub-Saharan Africa","Benin","BEN",5.8,193.616528,"Africa",13352.864,0.000434363743987807,5.8,0.00341280873420897
"188","Sub-Saharan Africa","Central African Republic","CAF",3,80.897588,"Africa",5579.144,0.000537716897072382,3,0.00341280873420897
"189","Sub-Saharan Africa","Malawi","MWI",42.6,295.8770965,"Africa",20405.317,0.00208769116402357,42.6,0.00341280873420897
"190","Sub-Saharan Africa","Guinea-Bissau","GNB",3.6,30.530707,"Africa",2105.566,0.00170975405187964,3.6,0.00341280873420897
"191","Sub-Saharan Africa","Lesotho","LSO",6.1,33.4344625,"Africa",2305.825,0.00264547396268147,6.1,0.00341280873420897
"192","Sub-Saharan Africa","Liberia","LBR",74.6,76.8888745,"Africa",5302.681,0.0140683552338902,74.6,0.00341280873420897
"193","Sub-Saharan Africa","Mozambique","MOZ",15.8,478.058011,"Africa",32969.518,0.000479230542587853,15.8,0.00341280873420897
"194","Sub-Saharan Africa","Uganda","UGA",24.1,685.1189825,"Africa",47249.585,0.000510057389922049,24.1,0.00341280873420897
"195","Sub-Saharan Africa","Senegal","SEN",52.5,251.0885105,"Africa",17316.449,0.00303179941799846,52.5,0.00341280873420897
"196","Sub-Saharan Africa","Eswatini","SWZ",4,17.424215,"Africa",1201.67,0.00332870089125966,4,0.00341280873420897
"197","Sub-Saharan Africa","Réunion","REU",NA,NA,"Africa",974.052,0.00341280873420897,3.32425317317371,0.00341280873420897
"198","Sub-Saharan Africa","Togo","TGO",6.1,128.3061355,"Africa",8848.699,0.000689366877548892,6.1,0.00341280873420897
"199","Sub-Saharan Africa","Ghana","GHA",54.8,485.400115,"Africa",33475.87,0.00163700002419653,54.8,0.00341280873420897
"200","Sub-Saharan Africa","Zimbabwe","ZWE",23,236.6477865,"Africa",16320.537,0.00140926735437688,23,0.00341280873420897
"201","Sub-Saharan Africa","Madagascar","MDG",17,429.369853,"Africa",29611.714,0.000574097129264453,17,0.00341280873420897
"202","Sub-Saharan Africa","Sierra Leone","SLE",3.2,124.782911,"Africa",8605.718,0.000371845789043982,3.2,0.00341280873420897
"203","Sub-Saharan Africa","Burkina Faso","BFA",3.5,328.769549,"Africa",22673.762,0.000154363444407681,3.5,0.00341280873420897
"204","Sub-Saharan Africa","Somalia","SOM",NA,255.1639095,"Africa",17597.511,0.0145,255.1639095,0.00341280873420897
"205","Sub-Saharan Africa","Chad","TCD",8.2,256.9880675,"Africa",17723.315,0.000462667396026082,8.2,0.00341280873420897
"206","Sub-Saharan Africa","South Africa","ZAF",309.7,868.4613325,"Africa",59893.885,0.00517081167802022,309.7,0.00341280873420897
"207","Sub-Saharan Africa","Namibia","NAM",2.2,37.221674,"Africa",2567.012,0.000857027547981856,2.2,0.00341280873420897
"208","Western Asia","United Arab Emirates","ARE",NA,96.2995158,"Asia",9441.129,0.0102,96.2995158,0.00778679701101573
"209","Western Asia","Oman","OMN",NA,46.6782396,"Asia",4576.298,0.0102,46.6782396,0.00778679701101573
"210","Western Asia","Armenia","ARM",22.7,28.3607838,"Asia",2780.469,0.00816409030275108,22.7,0.00778679701101573
"211","Western Asia","Azerbaijan","AZE",23.9,105.6523548,"Asia",10358.074,0.00230737876558905,23.9,0.00778679701101573
"212","Western Asia","Bahrain","BHR",NA,15.0167766,"Asia",1472.233,0.0102,15.0167766,0.00778679701101573
"213","Western Asia","Yemen","YEM",44,343.7054628,"Asia",33696.614,0.00130576917906351,44,0.00778679701101573
"214","Western Asia","Qatar","QAT",NA,27.4902444,"Asia",2695.122,0.0102,27.4902444,0.00778679701101573
"215","Western Asia","Turkey","TUR",NA,870.4806582,"Asia",85341.241,0.0102,870.4806582,0.00778679701101573
"216","Western Asia","Georgia","GEO",18.5,38.192727,"Asia",3744.385,0.00494073125493239,18.5,0.00778679701101573
"217","Western Asia","Kuwait","KWT",NA,43.5425046,"Asia",4268.873,0.0102,43.5425046,0.00778679701101573
"218","Western Asia","Lebanon","LBN",16.5,55.9953378,"Asia",5489.739,0.00300560737040504,16.5,0.00778679701101573
"219","Western Asia","Jordan","JOR",NA,115.1158638,"Asia",11285.869,0.0102,115.1158638,0.00778679701101573
"220","Western Asia","Saudi Arabia","SAU",NA,371.369964,"Asia",36408.82,0.0102,371.369964,0.00778679701101573
